id,severity,classification,title,files,evidence,impact,required_fix,required_tests
P0-001,P0,VERIFIED,observe 后未失效 _cached_context，工具结果可能根本没有进入下一轮 decide,src/personal_ai_os/agent_runtime/graph.py,observe() 追加 assistant/tool messages 后直接返回；decide() 只要 _cached_context 存在就优先复用。,模型重复调用同一工具，直到 MAX_TOOL_CALLS=5；造成工具循环、额外费用、错误回答。,删除跨节点缓存或引入 context_revision/messages_revision；任何 messages/tool_results/approval/plan 改变都必须使缓存失效。最小补丁：observe/approval/rejection 返回 _cached_context=None；长期改为 ContextSnapshot(revision=...)。,真实 ContextEngine 的两轮模型测试：第二次 request 必须包含刚产生的 tool result；同一 search 不得无理由重复。
P0-002,P0,VERIFIED,HTTP connector 将 POST/PUT/PATCH/DELETE 错标成低风险只读工具,connectors/http_fetch/connector.py; src/personal_ai_os/policy_engine/engine.py,"descriptor: risk_level=1, side_effect=False, external_write=False, idempotent=True；schema 却允许 GET/POST/PUT/PATCH/DELETE/HEAD；R1 默认 auto-allow。",Agent 可在无需审批情况下对外部服务发起写入/删除动作，属于能力元数据绕过。,拆工具：http_fetch.read 仅 GET/HEAD，R1；http_request.mutate 承载 POST/PUT/PATCH/DELETE，至少 R3 + approval。Registry 注册时增加 capability invariant validator，拒绝 mutating method + read-only metadata。,对每个 HTTP method 做 policy 集成测试；DELETE 未审批必须 403/approval_required，GET 正常自动执行。
P0-003,P0,VERIFIED,approved_with_edits 新参数 hash 计算后未持久化,src/personal_ai_os/policy_engine/approval.py,resolve() 计算 bound_hash，但没有 row.argument_hash = bound_hash；verify_approval() 后续读取数据库中的旧/空 hash。,编辑参数审批在真实 Broker 校验时失败；UI/Run 可能显示已批准，实际工具未执行。,resolve 必须在同一事务内写 arguments_preview=bound_args、argument_hash=bound_hash、status=edited、approved_by；receipt 与 DB 状态不可分叉。,真实 ApprovalEngine→Runner→Graph→ToolBroker→真实 fake connector 垂直测试；断言 connector 实际收到 edited args 且 ToolCall.status=success。
P0-004,P0,VERIFIED,审批 API/Runner 吞掉任意 resolve 异常并继续,apps/api/routers/approvals.py; src/personal_ai_os/agent_runtime/runner.py,两处 except Exception: pass，并将 engine side effects 描述为 best-effort。,审批过期、owner/hash/DB 故障可能被伪装成成功；状态机与安全边界分叉，模型还可能声称动作成功。,只允许显式幂等错误（AlreadyResolved 且 decision/actor/hash 完全相同）继续；其他异常失败关闭。创建 Typed ApprovalResolutionError/Conflict/Expired。API 不再直接兜底改 DB 安全字段。,故障注入：DB error、expired、wrong decision、second resolver；必须分别 5xx/409/410，且工具绝不执行。
P0-005,P0,VERIFIED,生产 Runner 默认 InMemorySaver，重启后审批/interrupt checkpoint 丢失,src/personal_ai_os/agent_runtime/runner.py; src/personal_ai_os/gateway/services.py,RunRunner 在未传 checkpointer 时 compile(InMemorySaver())；complete_wiring 未传持久化 checkpointer。,服务重启后 waiting_approval run 无法从 LangGraph 真正续跑；DB state 看似存在但执行栈不存在。,生产必须使用持久化 checkpointer（Postgres/SQLite dev）；thread_id=run_id；启动时检查 waiting/running run 并恢复/标记 recoverable。禁止 prod 使用 InMemorySaver。,restart integration：工具触发 approval→杀进程→重启→approve/resume→仅执行一次并完成。
P0-006,P0,VERIFIED,部署默认 dev-key + 固定数据库口令 + PostgreSQL 端口外露,deploy/compose/docker-compose.yml; apps/api/deps.py,PERSONAL_AI_DEV_API_KEY 默认 dev-key；Postgres user/pass 固定为 user/pass；5432 映射到宿主机。,个人服务器直接部署时存在可猜认证、数据库暴露和数据泄漏风险。,compose 移除所有 secret 默认值；${VAR:?required}；Postgres 不 publish 5432，只用 internal network；API 默认 bind 127.0.0.1 或反代；启动 insecure-config detector。,CI compose config test：缺 secret 必须失败；端口扫描测试确认 DB 不对宿主开放；dev-key 被拒绝。
P0-007,P0,VERIFIED,CredentialBroker 是全局环境凭据，owner_id 未参与选择,src/personal_ai_os/policy_engine/credentials.py; src/personal_ai_os/tool_broker/broker.py,"inject(tool, arguments, owner_id) 接收 owner_id 但 resolve_secret 完全忽略；同进程所有 owner 共享环境 secret。",一旦系统出现多个用户，任一用户可通过允许的 credential_scope 使用服务器所有者的 GitHub/邮件等凭据。,"CredentialVault key=(owner_id, scope)；tool visibility 同时按 owner capabilities 过滤；禁止 global env secret 在 multi-user 模式自动授予。单用户模式也要显式 owner binding。",创建 owner A/B，A 有 token、B 无；B 调 credential tool 必须 CREDENTIAL_ERROR，绝不能命中 A/global token。
P0-008,P0,VERIFIED,原始 reasoning_content 被作为 thinking.delta 持久化/重放,src/personal_ai_os/model_gateway/provider.py; apps/api/routers/stream.py; src/personal_ai_os/agent_runtime/graph.py,OpenAI provider yield reasoning_content→thinking_delta；stream replay 从 run.state[thinking] 发出，并注释为 chain-of-thought replay。,泄露模型内部推理/潜在敏感上下文；事件契约与“不暴露 raw CoT”目标冲突。,provider opaque reasoning 只保留在调用协议需要的内部字段，不进入公共 Run.state/SSE。UI 只接收 model-generated progress summary 或固定阶段事件。对旧记录迁移/清理 thinking。,构造 reasoning_content=SECRET_COT；检查 DB、GET run、SSE、CLI JSONL 均不得出现。
P1-001,P1,VERIFIED,工具结果 structured data 未做总大小预算,src/personal_ai_os/tool_broker/broker.py; connectors/filesystem/connector.py,max_result_chars 只截 text；result.data 仅 sanitize，不限尺寸；filesystem list/search 可返回巨大 data。,内存、Run.state JSON、ToolCall result、DB、序列化和 SSE 可被大结果拖垮。,统一 ToolResultBudget：text bytes、data serialized bytes、items、depth；大结果写 ArtifactStore，只回 preview+artifact_ref+page cursor。,10万文件/命中结果压力测试；单 ToolResult 持久化尺寸必须低于配置上限。
P1-002,P1,VERIFIED,filesystem.list 的 max_depth 配置未实际 clamp,connectors/filesystem/connector.py,constructor 有 self.max_depth，但 _list 直接使用请求 max_depth；schema 只有 minimum 无 maximum。,递归目录遍历可放大 CPU/IO，结合符号链接形成深层重复遍历。,"effective_depth=min(requested,self.max_depth,HARD_MAX_DEPTH)；visited inode/realpath set；max_entries；deadline。",max_depth=100000 只能走 HARD_MAX；symlink-to-parent 不重复访问。
P1-003,P1,VERIFIED,filesystem.search 任意 Python regex + 同步执行，存在 ReDoS/事件循环阻塞,connectors/filesystem/connector.py,async execute 内直接同步 re.compile/re.search 和文件遍历；无 regex timeout。,一个恶意/偶然灾难回溯 pattern 可冻结整个 FastAPI event loop；asyncio.timeout 无法中断同步阻塞。,默认 literal search；regex 作为显式 mode，使用安全引擎/子进程 deadline；所有 blocking FS 用 asyncio.to_thread；全局 scan budget。,并发 heartbeat + catastrophic regex；API event loop latency 不得被拖死。
P1-004,P1,VERIFIED,filesystem root 默认 os.getcwd()，安全边界由启动目录偶然决定,connectors/__init__.py; src/personal_ai_os/gateway/services.py,FilesystemConnector() 未传 allowed_root，默认 cwd。,部署目录变化会改变 agent 可读写范围，可能直接读写应用源码/数据/secret 文件。,prod 要求 PERSONAL_AI_WORKSPACE_ROOT；每 owner/session 可进一步子目录；启动打印 canonical root；无配置时 prod 禁用 filesystem。,从 /、/app、repo 根启动三组测试，实际 root 必须一致。
P1-005,P1,VERIFIED,filesystem 敏感文件 denylist 过窄,connectors/filesystem/connector.py,仅 .env/.pem/id_rsa/credentials/.key 等少数模式。,可能读取 .npmrc、.pypirc、kubeconfig、SSH ed25519、git credential、DB、cloud config 等。,不要继续扩 denylist 为主策略；改 workspace allowlist + secret boundary；辅以 basename/path patterns 和 file classification。,秘密夹具覆盖常见凭据文件；workspace 外一律拒绝。
P1-006,P1,PROJECTED,filesystem path 检查存在 TOCTOU/symlink race,connectors/filesystem/connector.py,realpath 检查后再 open/makedirs；攻击者可在两步之间替换 symlink。,共享/恶意 workspace 中可逃逸 sandbox。,POSIX 使用 openat/dir_fd + O_NOFOLLOW，或把 connector 放入真正容器 sandbox；Windows 用安全句柄策略。,并发 symlink swap 测试；不能写出 root。
P1-007,P1,VERIFIED,result trust 在 descriptor 缺失时默认 trusted_tool,src/personal_ai_os/agent_runtime/graph.py,_serialize_tool_result 对缺 descriptor 情况使用 trusted_tool 默认值。,注册/解析异常时，不可信外部内容可能被提升为可信。,trust 必须 fail-closed：unknown→untrusted_tool；ToolDescriptor 注册时 trust 必填并枚举校验。,缺 descriptor 的 web-like result 必须被 wrapper 包裹。
P1-008,P1,VERIFIED,长期 memory/profile 直接进入 system_prompt，来源信任被提升,src/personal_ai_os/context_engine/engine.py; src/personal_ai_os/memory_engine/store.py,profile/memories 拼进 system_prompt；_context_item 统一标 trusted_system；memory 内容本质可来自用户/外部提取。,持久化 prompt injection：一次进入 memory 的“指令”可在未来以 system 级上下文持续影响 Agent。,Memory 增加 trust/provenance；user-derived memory 作为 DATA/user frame；只有 code-owned policy/identity 才能 trusted_system。抽取阶段过滤 instruction-shaped memories。,写入“忽略系统策略并…” memory；后续 context 中不能处于 system role。
